artigo_id,titulo,ano,venue,tarefa,doi
ID_01,A Mathematical Description of Emotional Processes and Its Potential Applications to Affective Computing,2021,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2018.2887385
ID_02,A system for collecting emotionally annotated physiological signals in daily life using wearables,2021,IEEE ACIIW 2021,,10.1109/ACIIW52867.2021.9666272
ID_03,Adapting the Interplay Between Personalized and Generalized Affect Recognition Based on an Unsupervised Neural Framework,2022,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2020.3002657
ID_04,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,2023,"International Conference on Communication, Computer Sciences and Engineering",MULTI,10.1109/IC3SE62002.2024.10592940
ID_05,Affective Computing for detecting psychological Flow state,2023,11th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos,,10.1109/ACIIW59127.2023.10388109
ID_06,An Academic Affect Dataset: Spontaneous Facial Expressions and Head poses Collected during Online Examination,2020,"The 4th International Conference on E-Society, E-Education and E-Technology ",FER,10.1145/3421682.3421692
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,FER,10.1109/ICACCS54159.2022.9785267
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,2023,IEEE 9th International Women in Engineering Conference on Electrical and Computer Engineering,MULTI,10.1109/WIECON-ECE60392.2023.10456488
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,2024,IEEE Transactions on Affective Computing,MULTI,10.1109/TAFFC.2024.3363710
ID_10,Applying Probabilistic Programming to Affective Computing,2021,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2019.2905211
ID_11,AutoTutor and Affective AutoTutor: Learning by Talking with Cognitively and Emotionally Intelligent Computers that Talk Back,2012,ACM Transactions on Interactive Intelligent Systems,,10.1145/2395123.2395128
ID_12,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,FER,10.1109/APCIT62007.2024.10673502
ID_13,"Can Large Language Models Assess Personality From Asynchronous Video Interviews? A Comprehensive Evaluation of Validity, Reliability, Fairness, and Rating Patterns",2024,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2024.3374875
ID_14,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,2024,IEEE Transactions on Industrial Informatics,MULTI,10.1109/TII.2024.3452757
ID_15,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,FER,10.1109/ICDT61202.2024.10489327
ID_16,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,2024,"International Conference on Electronics, Computing, Communication and Control Technology",FER,10.1109/ICECCC61767.2024.10593953
ID_17,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,2023,IEEE ICCCNT 2023,FER,10.1109/ICCCNT56998.2023.10308238
ID_18,Deep Learning for Facial Expression Recognition using EfficientNetB0,2023,Global Conference on Information Technologies and Communications,FER,10.1109/GCITC60406.2023.10426615
ID_19,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,2024,2nd World Conference on Communication & Computing,MULTI,10.1109/WCONF61366.2024.10692119
ID_20,Dynamic Cat-boost enabled Keystroke analysis for user stress level detection,2022,International Conference on Computational Intelligence and Sustainable Engineering Solution,,10.1109/CISES54857.2022.9844331
ID_21,Emotion Recognition in Conversation Based on a Dynamic Complementary Graph Convolutional Network,2024,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2024.3360979
ID_22,End-to-end facial and physiological model for Affective Computing and applications,2020,15th IEEE Int. Conf. on Automatic Face and Gesture Recognition,MULTI,10.1109/FG47880.2020.00001
ID_23,Facial Emotion Recognition (FER) Through Custom Lightweight CNN Model: Performance Evaluation in Public Datasets,2024,IEEE ACCESS,FER,10.1109/ACCESS.2024.3380847
ID_24,Facial Expression Recognition in the Wild using Artificial Rabbits Optimizer based Residual Neural Network,2023,IEEE ICAICCIT 2023,FER,10.1109/ICAICCIT60255.2023.10466005
ID_25,Facial Expression Recognition with Transfer Learning: A Deep Dive,2024,IEEE TQCEBT 2024,FER,10.1109/TQCEBT59414.2024.10545031
ID_26,Feature Augmenting Networks for Improving Depression Severity Estimation From Speech Signals,2020,IEEE Access,SER,10.1109/ACCESS.2020.2970496
ID_27,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,2023,IEEE ACCESS,FER,10.1109/ACCESS.2023.3267007
ID_28,Identification of Emotions in a given speech audio clip by using ANN,2024,International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications,SER,
ID_29,Intensional Learning to Efficiently Build Up Automatically Annotated Emotion Corpora,2020,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2017.2764470
ID_30,"Modeling, Recognizing, and Explaining Apparent Personality From Videos",2020,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2020.2973984
ID_31,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,2024,International Conference on Multimodal Interaction,MULTI,10.1145/3678957.3685737
ID_32,Multimodal Daily-Life Emotional Recognition Using Heart Rate and Speech Data From Wearables,2024,IEEE ACCESS,MULTI,10.1109/ACCESS.2024.3427111
ID_33,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,2023,IEEE ICASSP 2023,MULTI,10.1109/ICASSP49357.2023.10095072
ID_34,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,2024,IEEE Transactions on Affective Computing,MULTI,10.1109/TAFFC.2023.3297270
ID_35,Optimizing Neural Response Generator with Emotional Impact Information,2018,IEEE Spoken Language Technology Workshop,,10.1109/SLT.2018.8639613
ID_36,Quantitative Personality Predictions From a Brief EEG Recording,2022,IEEE Transactions on Affective Computing,,10.1109/TAFFC.2020.3008775
ID_37,TinyStressNet: On-device Stress Assessment with Wearable Sensors on Edge Devices,2024,IEEE PerCom Workshops 2024,,10.1109/PerComWorkshops59983.2024.10502631
ID_38,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,2022,ACM Transactions on Human-Robot Interaction,MULTI,10.1145/3526111
ID_39,FacePsy: An Open-Source Affective Mobile Sensing,2024,Proceedings of the ACM on Human-Computer Interaction,FER,10.1145/3676505
ID_40,Efficient Decoding of Affective States from Video-elicited EEG Signals,2024,"ACM Transactions on Multimedia Computing, Communications and Applications",,10.1145/3663669
ID_41,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,2025,IEEE Transactions on Affective Computing,SER,10.1109/TAFFC.2024.3407683
ID_42,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",2023,Proc. Interspeech 2023,SER,10.21437/Interspeech.2023-2111
ID_43,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,2022,IEEE PerCom Workshops 2022,SER,10.1109/PerComWorkshops53856.2022.9767445 
