artigo_id,ano,tarefa,titulo,venue,doi,elegivel_etapa1,motivo_exclusao,observacoes_elegibilidade
ID_06,2020,FER,An Academic Affect Dataset: Spontaneous Facial Expressions and Head poses Collected during Online Examination,"The 4th International Conference on E-Society, E-Education and E-Technology",10.1145/3421682.3421692,,,
ID_07,2022,FER,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267,,,
ID_17,2023,FER,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,IEEE ICCCNT 2023,10.1109/ICCCNT56998.2023.10308238,,,
ID_18,2023,FER,Deep Learning for Facial Expression Recognition using EfficientNetB0,Global Conference on Information Technologies and Communications,10.1109/GCITC60406.2023.10426615,,,
ID_24,2023,FER,Facial Expression Recognition in the Wild using Artificial Rabbits Optimizer based Residual Neural Network,IEEE ICAICCIT 2023,10.1109/ICAICCIT60255.2023.10466005,,,
ID_27,2023,FER,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,IEEE ACCESS,10.1109/ACCESS.2023.3267007,,,
ID_12,2024,FER,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502,,,
ID_15,2024,FER,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,ICDT 2024,10.1109/ICDT61202.2024.10489327,,,
ID_16,2024,FER,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,"International Conference on Electronics, Computing, Communication and Control Technology",10.1109/ICECCC61767.2024.10593953,,,
ID_23,2024,FER,Facial Emotion Recognition (FER) Through Custom Lightweight CNN Model: Performance Evaluation in Public Datasets,IEEE ACCESS,10.1109/ACCESS.2024.3380847,,,
ID_25,2024,FER,Facial Expression Recognition with Transfer Learning: A Deep Dive,IEEE TQCEBT 2024,10.1109/TQCEBT59414.2024.10545031,,,
ID_39,2024,FER,FacePsy: An Open-Source Affective Mobile Sensing,Proceedings of the ACM on Human-Computer Interaction,10.1145/3676505,,,
ID_22,2020,MULTI,End-to-end facial and physiological model for Affective Computing and applications,15th IEEE Int. Conf. on Automatic Face and Gesture Recognition,10.1109/FG47880.2020.00001,,,
ID_38,2022,MULTI,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,ACM Transactions on Human-Robot Interaction,10.1145/3526111,,,
ID_04,2023,MULTI,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,"International Conference on Communication, Computer Sciences and Engineering",10.1109/IC3SE62002.2024.10592940,,,
ID_08,2023,MULTI,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,IEEE 9th International Women in Engineering Conference on Electrical and Computer Engineering,10.1109/WIECON-ECE60392.2023.10456488,,,
ID_33,2023,MULTI,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,IEEE ICASSP 2023,10.1109/ICASSP49357.2023.10095072,,,
ID_09,2024,MULTI,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3363710,,,
ID_14,2024,MULTI,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,IEEE Transactions on Industrial Informatics,10.1109/TII.2024.3452757,,,
ID_19,2024,MULTI,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,2nd World Conference on Communication & Computing,10.1109/WCONF61366.2024.10692119,,,
ID_31,2024,MULTI,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,International Conference on Multimodal Interaction,10.1145/3678957.3685737,,,
ID_32,2024,MULTI,Multimodal Daily-Life Emotional Recognition Using Heart Rate and Speech Data From Wearables,IEEE ACCESS,10.1109/ACCESS.2024.3427111,,,
ID_34,2024,MULTI,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,IEEE Transactions on Affective Computing,10.1109/TAFFC.2023.3297270,,,
ID_11,2012,NA,AutoTutor and Affective AutoTutor: Learning by Talking with Cognitively and Emotionally Intelligent Computers that Talk Back,ACM Transactions on Interactive Intelligent Systems,10.1145/2395123.2395128,,,
ID_35,2018,NA,Optimizing Neural Response Generator with Emotional Impact Information,IEEE Spoken Language Technology Workshop,10.1109/SLT.2018.8639613,,,
ID_29,2020,NA,Intensional Learning to Efficiently Build Up Automatically Annotated Emotion Corpora,IEEE Transactions on Affective Computing,10.1109/TAFFC.2017.2764470,,,
ID_30,2020,NA,"Modeling, Recognizing, and Explaining Apparent Personality From Videos",IEEE Transactions on Affective Computing,10.1109/TAFFC.2020.2973984,,,
ID_01,2021,NA,A Mathematical Description of Emotional Processes and Its Potential Applications to Affective Computing,IEEE Transactions on Affective Computing,10.1109/TAFFC.2018.2887385,,,
ID_02,2021,NA,A system for collecting emotionally annotated physiological signals in daily life using wearables,IEEE ACIIW 2021,10.1109/ACIIW52867.2021.9666272,,,
ID_10,2021,NA,Applying Probabilistic Programming to Affective Computing,IEEE Transactions on Affective Computing,10.1109/TAFFC.2019.2905211,,,
ID_03,2022,NA,Adapting the Interplay Between Personalized and Generalized Affect Recognition Based on an Unsupervised Neural Framework,IEEE Transactions on Affective Computing,10.1109/TAFFC.2020.3002657,,,
ID_20,2022,NA,Dynamic Cat-boost enabled Keystroke analysis for user stress level detection,International Conference on Computational Intelligence and Sustainable Engineering Solution,10.1109/CISES54857.2022.9844331,,,
ID_36,2022,NA,Quantitative Personality Predictions From a Brief EEG Recording,IEEE Transactions on Affective Computing,10.1109/TAFFC.2020.3008775,,,
ID_05,2023,NA,Affective Computing for detecting psychological Flow state,11th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos,10.1109/ACIIW59127.2023.10388109,,,
ID_13,2024,NA,"Can Large Language Models Assess Personality From Asynchronous Video Interviews? A Comprehensive Evaluation of Validity, Reliability, Fairness, and Rating Patterns",IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3374875,,,
ID_21,2024,NA,Emotion Recognition in Conversation Based on a Dynamic Complementary Graph Convolutional Network,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3360979,,,
ID_37,2024,NA,TinyStressNet: On-device Stress Assessment with Wearable Sensors on Edge Devices,IEEE PerCom Workshops 2024,10.1109/PerComWorkshops59983.2024.10502631,,,
ID_40,2024,NA,Efficient Decoding of Affective States from Video-elicited EEG Signals,"ACM Transactions on Multimedia Computing, Communications and Applications",10.1145/3663669,,,
ID_26,2020,SER,Feature Augmenting Networks for Improving Depression Severity Estimation From Speech Signals,IEEE Access,10.1109/ACCESS.2020.2970496,,,
ID_43,2022,SER,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,IEEE PerCom Workshops 2022,10.1109/PerComWorkshops53856.2022.9767445,,,
ID_42,2023,SER,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",Proc. Interspeech 2023,10.21437/Interspeech.2023-2111,,,
ID_28,2024,SER,Identification of Emotions in a given speech audio clip by using ANN,International Conference on Emerging Technologies in Computer Science for Interdisciplinary Applications,,,,
ID_41,2025,SER,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,IEEE Transactions on Affective Computing,10.1109/TAFFC.2024.3407683,,,
