config_pesos,artigo_id,estrato,tarefa,item_id,item_label,score_item,na,titulo,ano,venue,doi
uniforme,ID_07,FER,FER,CAL,Calibracao,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,CST,Custo e Latencia,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,DAD,Dados e Demografia,50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,ESC,Escopo e Construto,50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,ETH,"Etica, Privacidade e Uso Responsavel",0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,EXT,Testes entre Bases,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,MET,Metricas e Incerteza,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,MOD,"Modelo, Hiperparametros e Treino",50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,PRE,Pre-processamento e Caracteristicas,50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,PRT,Particionamento e Validacao,50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,REP,Reprodutibilidade e Artefatos,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,ROB,Robustez e Sensibilidade,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,ROT,Anotacao e Qualidade do Rotulo,50.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,SIN,Sincronizacao Multimodal,,1,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,SUB,Subgrupos e Equidade,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_07,FER,FER,VZ,Prevencao de Vazamento,0.0,0,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,2022,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267
uniforme,ID_12,FER,FER,CAL,Calibracao,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,CST,Custo e Latencia,,1,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,DAD,Dados e Demografia,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,ESC,Escopo e Construto,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,ETH,"Etica, Privacidade e Uso Responsavel",0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,EXT,Testes entre Bases,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,MET,Metricas e Incerteza,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,MOD,"Modelo, Hiperparametros e Treino",50.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,PRE,Pre-processamento e Caracteristicas,50.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,PRT,Particionamento e Validacao,50.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,REP,Reprodutibilidade e Artefatos,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,ROB,Robustez e Sensibilidade,,1,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,ROT,Anotacao e Qualidade do Rotulo,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,SIN,Sincronizacao Multimodal,,1,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,SUB,Subgrupos e Equidade,0.0,0,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_12,FER,FER,VZ,Prevencao de Vazamento,,1,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,2024,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502
uniforme,ID_15,FER,FER,CAL,Calibracao,0.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
uniforme,ID_15,FER,FER,CST,Custo e Latencia,50.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
uniforme,ID_15,FER,FER,DAD,Dados e Demografia,0.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
uniforme,ID_15,FER,FER,ESC,Escopo e Construto,0.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
uniforme,ID_15,FER,FER,ETH,"Etica, Privacidade e Uso Responsavel",0.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
uniforme,ID_15,FER,FER,EXT,Testes entre Bases,0.0,0,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,2024,ICDT 2024,10.1109/ICDT61202.2024.10489327
