artigo_id,estrato,item_id,grau,NA,justificativa_NA,evidencia,observacoes
ID_17,FER,DAD,1,0,-,"Identifica datasets (RAF-DB, JAFFE, FER+), mas só reporta demografia de JAFFE e omite contagens exatas de split para todos.",Falha parcial em demografia.
ID_17,FER,ROT,0,0,-,"Lista classes, mas não detalha métricas de qualidade ou concordância dos rótulos (mesmo para o dataset corrigido FER+).",Confia cegamente no dataset.
ID_17,FER,ESC,1,0,-,Construto: 7 expressões faciais. Evidência: pixels via CNN. Aceita a validade do dataset sem análise crítica de construto.,Mapeamento direto e superficial.
ID_17,FER,PRE,1,0,-,"Lista técnicas de augmentation, mas falta dimensionamento exato do input. Sem referências fixas (código/config).",Falta dimensão do Input.
ID_17,FER,PRT,1,0,-,"Realiza Cross-Database (independente), mas falta detalhar cardinalidades internas e o split de validação é superficial.",Cross-dataset salva a nota.
ID_17,FER,MOD,0,0,-,"Arquiteturas listadas, mas omite hiperparâmetros fundamentais (Épocas, Batch size, LR). Sem seed.",Falha crítica de reprodutibilidade.
ID_17,FER,MET,0,0,-,Usa Acurácia global como métrica principal em datasets desbalanceados. Nenhuma incerteza (IC/DP) reportada.,Inadequado e sem incerteza.
ID_17,FER,CAL,0,0,-,"Modelo gera saídas probabilísticas via Softmax, mas nenhuma métrica ou curva de calibração é apresentada.",Apenas rótulo final é avaliado.
ID_17,FER,SUB,0,0,-,"Menciona ""Japanese female"" para JAFFE, mas não estratifica a performance ou analisa viés entre grupos.",Demografia ignorada nos resultados.
ID_17,FER,ROB,1,0,-,"Robustez testada via Cross-Database. Sensibilidade mencionada (""várias combinações tentadas"") mas não reportada numericamente.",Apenas 1 teste válido.
ID_17,FER,REP,0,0,-,"Nenhuma menção a repositório, link (GitHub) ou disponibilidade de código/pesos no texto.",Ausência total de artefatos.
ID_17,FER,ETH,0,0,-,"Usa imagens humanas, mas não reporta consentimento original, base ética (IRB) ou licença dos datasets.",Ignora privacidade e ética.
ID_17,FER,VZ,2,0,-,"Uso de ""Cross-Database Evaluation"" isolando fisicamente o treino (RAF-DB) do teste (JAFFE), eliminando vazamento de sujeito.",Regra algorítmica forte.
ID_17,FER,EXT,2,0,-,"Treina em uma base (RAF-DB) e testa quantitativamente em bases de domínios distintos (JAFFE, FER+).",Reporte claro de CDE.
ID_17,FER,CST,1,0,-,"Cita Hardware (Tesla V100) e reporta redução no número de parâmetros (7M para 1.4M), mas omite tempos ou FPS.","Tem hardware, mas faltam tempos."
ID_17,FER,SIN,-,1,Estudo focado apenas em imagens faciais estáticas.,,Totalmente unimodal.
ID_18,FER,DAD,0,0,-,"Usa o dataset CK+48, mas não há detalhamento demográfico, critérios de inclusão ou cardinalidade explícita de classes.",Informações ausentes.
ID_18,FER,ROT,0,0,-,"Não relata quem anotou o CK+48, qual o protocolo de validação ou qualquer métrica de concordância.",Assume rótulo perfeito.
ID_18,FER,ESC,1,0,-,"Define o reconhecimento de expressões faciais, assumindo mapeamento 1:1 com emoção humana via CK+48, sem discussão teórica.",Limítrofe com 0 pela superficialidade.
ID_18,FER,PRE,1,0,-,"Menciona resize para 200x200, mas a descrição de augmentation e transformações adicionais é muito genérica.",Pipeline pouco detalhado.
ID_18,FER,PRT,0,0,-,"""Distinct data stores"" reportado vagamente, mas sem cardinais de split (ex: 80/20) e sem garantia de separação por sujeito.",Risco de leakage intra-dataset.
