artigo_id,artigo_titulo,dataset_id,modalidade,tarefa,ambiente_coleta,dependencia_temporal,n_amostras_total,pretreino,modalidades_presentes,modelo_familia,modelo_especifico,protocolo_person_indep,protocolo_cross_dataset,metricas_principais,metrica_principal_valor,M,b,b_regra,b_baixa_confianca,S,S_linha,W,n_itens_w_total,n_itens_w_aplicaveis,lambda_r,P_norm,R,augmentations,code_available,weights_available,observacoes
ID_04,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,NA,MULTIMODAL,multiclasse,NA,sim,NA,nao,"[""fisiologia"", ""audio"", ""video""]",Multimodal,NA,nao,nao,"[""ACC""]",0.9,0.9,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9,0.063,NA,nao,nao,"Resultado principal do modelo multimodal híbrido proposto, reportado na Tabela 1."
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,DBFL,nao,nao,"[""ACC""]",0.98,0.98,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.98,0.0686,NA,nao,nao,"Resultado principal do modelo DBFL, reportado na Tabela II."
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Joint Orientation-Based Recognition,nao,nao,"[""ACC""]",919,9.19,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,1.0,0.06999999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Non-Specific Emotion Recognition,nao,nao,"[""ACC""]",0.95,0.95,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.95,0.06649999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Robust Emotion Recognition,nao,nao,"[""ACC""]",0.88,0.88,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.88,0.0616,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",ANN,Similarity Matching Recognition,nao,nao,"[""ACC""]",927,9.27,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,1.0,0.06999999999999999,NA,nao,nao,Baseline ANN reportado na Tabela II.
ID_07,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,RAVDESS,FER,multiclasse,controlado,nao,7356,nao,"[""video""]",CNN,CNN-GLM,nao,nao,"[""ACC""]",0.9609,0.9609,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9609,0.067263,NA,nao,nao,Baseline CNN-GLM reportado na Tabela 2.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,SER,multiclasse,controlado,nao,2879,nao,"[""audio""]",CNN,NA,nao,nao,"[""ACC""]",0.9287,0.9287,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9287,0.065009,NA,nao,nao,Resultado unimodal de fala no RAVDESS.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,FER,multiclasse,controlado,nao,2879,nao,"[""video""]",CNN,NA,nao,nao,"[""ACC""]",0.9477,0.9477,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.9477,0.066339,NA,nao,nao,Resultado unimodal facial no RAVDESS.
ID_08,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,RAVDESS,MULTIMODAL,multiclasse,controlado,nao,2879,nao,"[""video"", ""audio""]",Multimodal,NA,nao,nao,"[""ACC""]",0.6936,0.6936,0.0,fallback_zero,True,0.0,0.0,0.1,5,5,0.7,0.6936,0.048552,NA,nao,nao,Resultado de fusão multimodal áudio-vídeo no RAVDESS.
ID_09,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,ChaLearn First Impression,HER,regressao,selvagem,sim,10000,nao,"[""audio""]",CNN,CRNet,nao,nao,"[""CCC""]",0.3707,0.3707,0.0,fallback_zero,True,0.0,0.0,0.3,5,5,0.7,0.3707,0.07784699999999999,NA,sim,sim,APR no ChaLearn First Impression. CCC médio do modelo CRNet extraído da Tabela V (p. 9).
