item_id,item_nome,nuclear,exemplo_tipo,grau_sugerido,na_sugerido,artigo_id,estrato,fonte,localizacao,trecho_parafraseado,descricao_exemplo,nota
I01,Dados e Demografia,1,ancora_0,0,0,,,,,,origem vaga/links ausentes/inoperantes; sem demografia,
I01,Dados e Demografia,1,ancora_1,1,0,,,,,,origem e classes descritas; demografia parcial/agregada; sem referência estável,
I01,Dados e Demografia,1,ancora_2,2,0,,,,,,origem+critérios+classes+demografia completa; referência estável/localizável,
I01,Dados e Demografia,1,na,,1,,,,,,não usa dados humanos e não há demografia pertinente (explicitado),
I02,Anotação e Qualidade do Rótulo,1,ancora_0,0,0,,,,,,sem descrição do processo de anotação ou sem medida de concordância,
I02,Anotação e Qualidade do Rótulo,1,ancora_1,1,0,,,,,,processo descrito; sem métrica quantitativa de concordância,
I02,Anotação e Qualidade do Rótulo,1,ancora_2,2,0,,,,,,"processo completo com métrica (kappa/alpha/ICC), treino, desempate, n anotadores e amostragem",
I02,Anotação e Qualidade do Rótulo,1,na,,1,,,,,,rótulo objetivo/automático (explicitado),
I03,Escopo e Construto,1,ancora_0,0,0,,,,,,tarefa/construto/inferência vagos; sem ligação aos observáveis,
I03,Escopo e Construto,1,ancora_1,1,0,,,,,,construto definido; ligação incompleta a observáveis e/ou condições,
I03,Escopo e Construto,1,ancora_2,2,0,,,,,,CET completo: construto + observáveis + condições/tarefa sustentando inferência,
I03,Escopo e Construto,1,na,,1,,,,,,objetivo estritamente técnico; sem inferência sobre estados/traços (explicitado),
I04,Pré-processamento e Características,0,ancora_0,0,0,,,,,,pré-processamento/extração não informado,
I04,Pré-processamento e Características,0,ancora_1,1,0,,,,,,etapas listadas sem parâmetros e/ou versões,
I04,Pré-processamento e Características,0,ancora_2,2,0,,,,,,etapas com parâmetros e versões explícitos ou referência estável a configuração versionada,
I04,Pré-processamento e Características,0,na,,1,,,,,,declara sem transformações ou sem etapa computacional (explicitado),
I05,Particionamento e Validação,1,ancora_0,0,0,,,,,,divisão indefinida/ambígua ou risco de dependência não endereçado,
I05,Particionamento e Validação,1,ancora_1,1,0,,,,,,splits descritos; sem cardinalidades e/ou sem regra clara de validação/seleção,
I05,Particionamento e Validação,1,ancora_2,2,0,,,,,,"independência pertinente (ex.: por sujeito/sessão), cardinalidades e regra de validação/seleção",
I05,Particionamento e Validação,1,na,,1,,,,,,sem protocolo preditivo (explicitado),
I06,"Modelo, Hiperparâmetros e Treino",1,ancora_0,0,0,,,,,,configurações de modelo/treino ausentes,
I06,"Modelo, Hiperparâmetros e Treino",1,ancora_1,1,0,,,,,,configurações parciais; sem procedimento de treino/ajuste e/ou sem valores críticos,
I06,"Modelo, Hiperparâmetros e Treino",1,ancora_2,2,0,,,,,,"arquitetura + valores críticos + procedimento, incluindo seed (quando aplicável), épocas, lr, batch e regularização",
I06,"Modelo, Hiperparâmetros e Treino",1,na,,1,,,,,,sem modelo treinável ou sem etapa de treino (explicitado),
I07,Métricas e Incerteza,1,ancora_0,0,0,,,,,,métrica principal sem incerteza (apenas ponto único),
I07,Métricas e Incerteza,1,ancora_1,1,0,,,,,,métrica adequada sem incerteza; ou incerteza não é da métrica principal e/ou sem justificativa,
I07,Métricas e Incerteza,1,ancora_2,2,0,,,,,,"métrica principal com incerteza (IC/EP/bootstrap) + justificativa; quando pertinente, trata desbalanceamento",
I08,Calibração,0,ancora_0,0,0,,,,,,calibração ausente,
I08,Calibração,0,ancora_1,1,0,,,,,,menção qualitativa/indireta sem medida,
I08,Calibração,0,ancora_2,2,0,,,,,,medida (ECE/Brier) e/ou curva de confiabilidade; descreve procedimento de calibração quando aplicável,
I08,Calibração,0,na,,1,,,,,,sem saídas probabilísticas/scores comparáveis (explicitado),
I09,Subgrupos e Equidade,0,ancora_0,0,0,,,,,,análise por subgrupo ausente,
I09,Subgrupos e Equidade,0,ancora_1,1,0,,,,,,subgrupos definidos; sem resultados estratificados,
I09,Subgrupos e Equidade,0,ancora_2,2,0,,,,,,métricas por subgrupo com deltas e/ou incerteza; ou justificativa robusta de indisponibilidade,
I09,Subgrupos e Equidade,0,na,,1,,,,,,não há atributos de subgrupo disponíveis ou há restrição (explicitado),
I10,Robustez e Sensibilidade,0,ancora_0,0,0,,,,,,robustez/sensibilidade ausente,
I10,Robustez e Sensibilidade,0,ancora_1,1,0,,,,,,um único teste limitado ou descrição qualitativa; efeitos pouco quantificados,
I10,Robustez e Sensibilidade,0,ancora_2,2,0,,,,,,testes de perturbações + sensibilidade (limiares/características/pesos) com efeitos quantificados,
I10,Robustez e Sensibilidade,0,na,,1,,,,,,sem protocolo preditivo nem avaliação experimental (explicitado),
I11,Reprodutibilidade e Artefatos,1,ancora_0,0,0,,,,,,sem artefatos públicos,
I11,Reprodutibilidade e Artefatos,1,ancora_1,1,0,,,,,,repositório parcial; sem instruções executáveis e/ou sem parâmetros essenciais,
I11,Reprodutibilidade e Artefatos,1,ancora_2,2,0,,,,,,"código + instruções executáveis + commit/tag + parâmetros essenciais; quando possível, pesos e identificador persistente",
I12,"Ética, Privacidade e Uso Responsável",0,ancora_0,0,0,,,,,,ética/privacidade ausente,
I12,"Ética, Privacidade e Uso Responsável",0,ancora_1,1,0,,,,,,menções genéricas sem operacionalização,
I12,"Ética, Privacidade e Uso Responsável",0,ancora_2,2,0,,,,,,"base legal/consentimento (quando aplicável), finalidades, retenção, controle de acesso, minimização/anonimização; riscos/benefícios",
I12,"Ética, Privacidade e Uso Responsável",0,na,,1,,,,,,não envolve dados pessoais/sensíveis nem riscos correlatos (explicitado),
I13,Prevenção de Vazamento,1,ancora_0,0,0,,,,,,vazamento não mencionado,
I13,Prevenção de Vazamento,1,ancora_1,1,0,,,,,,menção genérica sem regra verificável,
I13,Prevenção de Vazamento,1,ancora_2,2,0,,,,,,"regras verificáveis (bloqueio por identidade/sessão, dedup, isolamento) + checagens",
I13,Prevenção de Vazamento,1,na,,1,,,,,,sem protocolo preditivo (explicitado),
I14,Testes entre Bases,1,ancora_0,0,0,,,,,,teste entre bases ausente,
I14,Testes entre Bases,1,ancora_1,1,0,,,,,,comparação indireta com literatura; sem protocolo executado,
I14,Testes entre Bases,1,ancora_2,2,0,,,,,,protocolo cross-dataset explícito com resultados e interpretação,
I14,Testes entre Bases,1,na,,1,,,,,,declara inexistência de base externa compatível/viável (explicitado),
I15,Custo e Latência,0,ancora_0,0,0,,,,,,custo/latência ausente,
I15,Custo e Latência,0,ancora_1,1,0,,,,,,descrição qualitativa ou parcial (hardware sem tempos ou tempos sem hardware),
I15,Custo e Latência,0,ancora_2,2,0,,,,,,medidas quantitativas (ms/FPS/FLOPs/memória/energia) + hardware e contexto de medição,
I15,Custo e Latência,0,na,,1,,,,,,sem execução de treino nem inferência reportada (explicitado),
I16,Sincronização Multimodal,0,ancora_0,0,0,,,,,,multimodalidade sem descrição de sincronização,
