artigo_id,estrato_audit,item_id,grau_audit,na_audit,justificativa_na_audit,evidencia_audit,observacoes_audit,estrato_retest,grau_retest,na_retest,justificativa_na_retest,evidencia_retest,observacoes_retest
ID_12,FER,DAD,0,0,,"p. 155; Sec. III; Fig. 1; origem do conjunto vaga baseada em fontes públicas, distribuição e demografia ausentes.","Grau 0. O autor afirma ter preparado o dataset de fontes públicas existentes, citando uma referência que não condiz com o tema. Acesso, distribuição de classes e demografia são totalmente ausentes ou vagos.",FER,0,0,,"p. 2; Sec. III. METHODOLOGY; Fig. 1; conjunto não identificável/origem vaga ('existing public sources'), acesso não rastreável, distribuição de classes ausente e demografia ausente sem declaração de indisponibilidade.","Grau 0. O estudo menciona o uso de imagens de expressões faciais obtidas de 'fontes públicas existentes', mas não nomeia, não cita o repositório correto e não fornece meios de acesso. Não relata a distribuição de classes na amostra (apenas a proporção de 80/20 de treino e validação) e não detalha nenhuma demografia pertinente (idade, gênero, raça), limitando-se a afirmar vagamente que inclui diversidade demográfica."
ID_15,FER,DAD,0,0,,"p. 208; Sec. III.A; Fig. 2; origem vaga de imagens (Kaggle/Google), distribuição e demografia ausentes.","Grau 0. Menciona imagens do Kaggle e do Google, sem permitir o acesso rastreável ao conjunto exato. A demografia e a distribuição de classes para as emoções são ausentes.",FER,0,0,,"Sec. III.A; --; procurou-se por demografia e distribuição das classes, mas a base tem origem vaga e não detalha atributos.","Grau 0. O estudo cita a utilização de uma base de dados combinada a partir de uma busca no 'Kaggle (Named: Human Face Emotions) and also additional google images'. Essa origem é vaga e o acesso não é rastreável. Além disso, a distribuição exata das classes utilizadas não é informada e nenhuma demografia pertinente (idade, gênero, raça/cor) é reportada ou declarada como indisponível."
ID_19,MULTI,DAD,1,0,,"p. 283-284; Sec. III.D; Fig. 7; conjuntos FER 2013, CK+ e RAVDESS identificados, demografia ausente para imagens.","Grau 1. Múltiplos conjuntos (FER 2013, CK+ e RAVDESS). RAVDESS relata informações demográficas parciais (atores, gênero), mas as informações demográficas para FER 2013 e CK+ estão ausentes.",MULTI,1,0,,"Sec. III.D; --; múltiplos conjuntos com demografia parcial (RAVDESS cita gênero, FER2013/CK+ omitem informações demográficas).","Grau 1 aplicado pela regra do mínimo. O estudo utiliza os conjuntos FER 2013, CK+ (para imagens faciais) e RAVDESS (para áudio), todos com origem explícita (obtidos via Kaggle). O RAVDESS reporta a demografia parcialmente (cita a participação de 12 atores e 12 atrizes), enquanto as bases FER 2013 e CK+ não possuem qualquer demografia reportada no texto, não havendo declaração explícita de indisponibilidade dessas características."
ID_41,SER,DAD,1,0,,"p. 312; Sec. IV.A; Table I; demografia detalhada para PRIORI, mas ausente para MSP-Podcast.","Grau 1. Embora a demografia para o conjunto alvo (PRIORI) seja bem detalhada, o artigo também utiliza o conjunto de dados MSP-Podcast para treinar modelos acústicos, e omite completamente a demografia desse conjunto (Regra do Mínimo aplicada).",SER,1,0,,"Sec. IV.A e V; Tab. I; distribuição e demografia omitidas para um conjunto, mas completas para outro.","Grau 1 aplicado pela regra do mínimo. Múltiplos conjuntos. Conjunto 1 (Treino - MSP-Podcast): origem identificada, mas demografia ausente e distribuição de classes incompleta (cita apenas que usou o 'predefined training split'). Conjunto 2 (Avaliação - PRIORI): origem e dados detalhados, critérios de inclusão/exclusão e seleção explícitos, distribuição de amostras detalhada (Tab. I e III) e demografia pertinente completamente reportada (idade média 53.94, 62.50% feminino, 93.75% brancos). As omissões demográficas e de distribuição do conjunto de treino reduzem o grau final para 1."
ID_33,MULTI,DAD,1,0,,"p. 654; Sec. 3; --; relata a dimensão do dataset 'Dyadic IMPRESSION' e a quantidade de participantes (40 ouvintes e 13 locutores), mas sem caracterização demográfica.","Grau 1. O dataset é verificado na literatura, contudo inexiste a presença das métricas populacionais descritivas e sociais dos participantes na extração.",MULTI,1,0,,"p. 2; Sec. 3. DATA PREPARATION; --; conjunto Dyadic IMPRESSION identificado com citação indireta, mas demografia ausente sem justificativa.","Grau 1. O estudo identifica explicitamente a base de dados utilizada (Dyadic IMPRESSION dataset e vídeos do Noxi), cujo acesso se dá de forma indireta via referências. A distribuição total de amostras é fornecida (44.923 amostras). Contudo, a demografia pertinente (idade, gênero, etc.) dos participantes e palestrantes é completamente omitida no relato e não há declaração explícita de indisponibilidade."
ID_43,SER,DAD,1,0,,"p. 675; Sec. IV; --; referencia de maneira curta a base IEMOCAP e sua composição de sessões interativas e emocionais, sem trazer demografia e distribuição.","Grau 1. Base perfeitamente identificável, mas subexplorada demograficamente na seção de avaliação do paper.",SER,1,0,,"Sec. IV. EVALUATION; Tab. I; conjunto IEMOCAP identificado com citação e distribuição de 4 classes mencionada, mas demografia ausente.","Grau 1. O estudo identifica a base de dados IEMOCAP (acesso indireto via citação) e detalha o uso de 4 emoções principais a partir do corpus improvisado. No entanto, o texto não reporta a demografia pertinente dos locutores da base (como idade, gênero, etc.) e nem explicita a indisponibilidade desses dados demográficos."
ID_12,FER,ROT,0,0,,"p. 138; Sec. II/III; Fig. 2; rótulos tratados como prontos (Happy, Sad, etc.), sem detalhar origem, processo ou confiabilidade.","Grau 0. Embora cite fontes públicas genericamente, não define qual base foi usada nem descreve a qualidade, protocolo de rotulagem ou qualquer métrica de concordância.",FER,0,0,,"p. 3; Sec. III. METHODOLOGY; Fig. 1; procurou-se pela origem dos rótulos, processo de anotação e medidas de concordância, mas os rótulos são tratados como dados prontos obtidos de fontes públicas não especificadas, sem qualquer métrica quantitativa.","Grau 0. O artigo afirma que o conjunto de dados foi preparado a partir de 'fontes públicas existentes' para classificação em quatro expressões (joy, pain, frustration, depression / happy, sad, angry, neutral), mas não cita especificamente qual é a base originária. O rótulo é tratado como dado pronto, sem descrição de quem anotou, do protocolo utilizado e sem reportar nenhuma medida quantitativa de concordância ou confiabilidade."
ID_15,FER,ROT,0,0,,"p. 187; Sec. III.A; --; adição de imagens extraídas do Google tratadas como rotuladas, sem descrição do processo de anotação.",Grau 0. Regra do mínimo. O estudo usa uma base do Kaggle (Grau 1) e adiciona imagens do Google para treinamento/teste. Não há descrição de como essas imagens do Google foram rotuladas manualmente ou validadas.,FER,0,0,,"Sec. III.A; --; procurou-se pelo processo de anotação, mas os rótulos de emoção da base do Kaggle e das imagens do Google são tratados como dados prontos sem medida de concordância.","Grau 0. O artigo trata as imagens obtidas do Kaggle e do Google como um 'labeled dataset' pronto para uso. Não há qualquer descrição sobre a origem do rótulo, quem anotou as imagens, ou qual foi o protocolo. Nenhuma medida quantitativa de concordância ou confiabilidade é reportada."
ID_19,MULTI,ROT,1,0,,"p. 264-266; Sec. III.D; --; rótulos herdados diretamente de bases públicas (FER 2013, CK+, RAVDESS), sem relato de concordância quantitativa.","Grau 1. Utilização de bases públicas referenciadas adequadamente como fonte dos rótulos, mas não dispõe de detalhamento da concordância para nenhuma delas (Regra do Mínimo).",MULTI,1,0,,"Sec. III.D; --; rótulos de emoção obtidos diretamente das bases públicas, mas sem reportar métricas de concordância originais.","Grau 1. Os rótulos de emoção (ex: happy, sad, angry, etc.) são herdados diretamente das bases de dados públicas (FER 2013, CK+ e RAVDESS). O artigo não descreve o processo de anotação nem apresenta qualquer medida quantitativa de concordância ou confiabilidade para esses rótulos."
ID_41,SER,ROT,1,0,,p. 295-309; Sec. IV.A/V.D; Tab. II; base MSP-Podcast herdada sem métrica de concordância; avaliações próprias (digiBP) com confiabilidade Omega reportada.,"Grau 1. Regra do Mínimo. O artigo atinge o nível 2 para o processo original (autorrelato/digiBP e avaliações clínicas) apresentando confiabilidade via Omega (Tabela 2). Porém, os modelos dependem da base MSP-Podcast, a qual apenas herda os rótulos de ativação e valência, carecendo de métrica local de confiabilidade.",SER,1,0,,"p. 5, 7; Sec. IV.A e V.D; Tab. II; rótulos do modelo de áudio herdados de base pública com citação explícita mas sem métrica de concordância, enquanto os rótulos de autorrelato possuem confiabilidade reportada.","Grau 1 aplicado pela regra do mínimo em decorrência de múltiplas rotulagens. Para a tarefa de reconhecimento passivo de emoção na fala, os rótulos de valência e ativação foram herdados da base pública MSP-Podcast com citação explícita (), porém o texto não reporta nenhuma medida quantitativa de concordância entre anotadores para essa base (Grau 1). Por outro lado, para os rótulos de humor via autorrelato (EMA / digiBP), o estudo reporta medidas quantitativas de confiabilidade do instrumento (Omega total variando de 0.514 a 0.943 na Tabela II), o que seria equivalente ao Grau 2. O grau final é rebaixado para 1 pela ausência de métrica do primeiro conjunto."
