artigo_id,estrato,item_id,grau,NA,justificativa_NA,evidencia,observacoes
ID_04,MULTI,DAD,0,0,,"p. 1308; Sec. IV; Fig. 3; conjunto não identificável com precisão, distribuição e demografia ausentes.","Grau 0. O artigo menciona a utilização de uma combinação vaga de conjuntos públicos e dados sintetizados, mas não os identifica claramente. Demografia e distribuição de classes explícitas estão ausentes."
ID_07,FER,DAD,1,0,,"p. 31; Sec. III.A; Table I; conjunto RAVDESS identificado, mas demografia ausente/parcial.","Grau 1. Conjunto RAVDESS é bem identificado e acessível publicamente, porém a demografia do conjunto de dados utilizado é vaga (apenas 'single actor') e a distribuição exata de classes no particionamento não é perfeitamente detalhada, constando apenas em resultados de predição."
ID_08,MULTI,DAD,0,0,,p. 52; Sec. III.B; Table II; conjunto de dados com origem vaga e demografia ausente.,"Grau 0. A origem dos dados (arquivos .wav e vídeo) não é especificada com clareza nem há rastreabilidade de acesso. Demografia totalmente ausente, apesar de haver alguma distribuição de classes da partição de teste."
ID_09,MULTI,DAD,1,0,,"p. 110-112; Sec. III.C; Table III; conjuntos UDIVA e ChaLearn identificados, mas demografia parcial.","Grau 1. Os conjuntos UDIVA e ChaLearn First Impression são bem descritos e de acesso público. No entanto, a demografia reportada é muito agregada ou parcial (ex: usuários do YouTube para o ChaLearn, grupos de idade agregados no UDIVA)."
ID_12,FER,DAD,0,0,,"p. 155; Sec. III; Fig. 1; origem do conjunto vaga baseada em fontes públicas, distribuição e demografia ausentes.","Grau 0. O autor afirma ter preparado o dataset de fontes públicas existentes, citando uma referência que não condiz com o tema. Acesso, distribuição de classes e demografia são totalmente ausentes ou vagos."
ID_14,MULTI,DAD,1,0,,"p. 183-185; Sec. V.A; Table IV; uso dos conjuntos State Farm, DEAP e dados locais, demografia ausente para os conjuntos públicos.","Grau 1. Utiliza múltiplos conjuntos. Embora forneça a demografia do conjunto de dados capturado manualmente, não fornece os mesmos detalhes ou a distribuição explícita completa para os conjuntos públicos DEAP e State Farm."
ID_15,FER,DAD,0,0,,"p. 208; Sec. III.A; Fig. 2; origem vaga de imagens (Kaggle/Google), distribuição e demografia ausentes.","Grau 0. Menciona imagens do Kaggle e do Google, sem permitir o acesso rastreável ao conjunto exato. A demografia e a distribuição de classes para as emoções são ausentes."
ID_16,FER,DAD,1,0,,"p. 222-223; Sec. III; Table II; origem vaga, demografia ausente, mas distribuição de teste reportada.","Grau 1. O estudo relata o uso de fontes publicamente disponíveis e mostra a distribuição do conjunto de testes (na matriz de confusão), mas a origem é indireta, a referência está incorreta e a demografia é vaga/ausente."
ID_17,FER,DAD,1,0,,"p. 238-239; Sec. III; Table II; conjuntos RAF-DB, JAFFE, FER+ identificados, demografia parcial.","Grau 1. Os três conjuntos de dados estão claramente identificados (RAF-DB, JAFFE, FER+). Contudo, a demografia para RAF-DB e FER+ é ausente, estando reportada parcialmente apenas para JAFFE (mulheres japonesas)."
ID_18,FER,DAD,1,0,,"p. 264; Sec. III; Fig. 3; conjunto CK+48 identificado, distribuição de teste inferível, demografia ausente.","Grau 1. O conjunto CK+48 está identificado e a distribuição pode ser vista na matriz de teste, contudo a demografia pertinente é ausente."
ID_19,MULTI,DAD,1,0,,"p. 283-284; Sec. III.D; Fig. 7; conjuntos FER 2013, CK+ e RAVDESS identificados, demografia ausente para imagens.","Grau 1. Múltiplos conjuntos (FER 2013, CK+ e RAVDESS). RAVDESS relata informações demográficas parciais (atores, gênero), mas as informações demográficas para FER 2013 e CK+ estão ausentes."
ID_41,SER,DAD,1,0,,"p. 312; Sec. IV.A; Table I; demografia detalhada para PRIORI, mas ausente para MSP-Podcast.","Grau 1. Embora a demografia para o conjunto alvo (PRIORI) seja bem detalhada, o artigo também utiliza o conjunto de dados MSP-Podcast para treinar modelos acústicos, e omite completamente a demografia desse conjunto (Regra do Mínimo aplicada)."
ID_42,SER,DAD,1,0,,"p. 405-407; Sec. 3.1; Table 1; conjuntos IEMOCAP, MSP-Improv, MSP-Podcast identificados, demografia parcial.","Grau 1. Múltiplos conjuntos identificados, no entanto, dados demográficos estão majoritariamente ausentes para MSP-Improv e MSP-Podcast, sendo apenas parcialmente reportados no IEMOCAP (gêneros)."
ID_39,FER,DAD,2,0,,p. 456-460; Sec. 4.1; Table 5; dados coletados em campo com demografia e distribuição exaustivamente detalhadas.,"Grau 2. Um conjunto de dados foi coletado para o estudo; a demografia dos participantes (gênero, idade, etnia, educação) é descrita em detalhes na Tabela 5 e a distribuição de instâncias ao longo da extração de classes é explícita."
ID_25,FER,DAD,1,0,,"p. 543; Sec. IV.A; Table II; conjunto CK+ identificado, distribuição de classes e demografia ausentes/parciais.","Grau 1. O conjunto CK+ é identificado e rastreável, porém não há distribuição das classes do subconjunto exato utilizado e os dados demográficos estão ausentes."
ID_27,FER,DAD,2,0,,"p. 568-572; Sec. II.D; Table 1; conjunto coletado com 38 alunos, demografia e distribuição fornecidas.","Grau 2. O artigo descreve a geração do dataset em laboratório, reporta a quantidade de imagens para cada emoção categorizada nas Tabelas 1 e 6, e reporta idade e gênero dos participantes."
ID_28,SER,DAD,1,0,,"p. 618-624; Sec. III; Table 1; dados de origem vaga no Kaggle, mas distribuição listada, demografia ausente.","Grau 1. A origem é referenciada vagamente como 'Kaggle website' com cerca de 2800 áudios. A distribuição de instâncias de emoções foi declarada na Tabela 1, mas a demografia é totalmente ausente."
